title,price
"Rez Infinite (Simplified Chinese, English, Korean, Japanese)","Rp 189,000"
Payday 2 Crimewave Edition (English),"Rp 189,000"
NARUTO TO BORUTO: SHINOBI STRIKER (English),"Rp 189,000"
"Monster Truck Championship (Simplified Chinese, English, Korean, Thai, Traditional Chinese)","Rp 189,000"
"Maneater PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 189,000"
Mahjong (English),"Rp 189,000"
"Magicka 2: Base Edition (English, Korean, Traditional Chinese)","Rp 189,000"
MudRunner (English Ver.),"Rp 189,000"
LOST SPHEAR (Japanese Ver.),"Rp 189,000"
Legendary Fishing Digital Edition (English/Chinese/Korean/Japanese Ver.),"Rp 345,000"
Life is Strange: Before the Storm Complete Season (English Ver.),"Rp 345,000"
Kingdom Two Crowns (English),"Rp 345,000"
DYNASTY WARRIORS 8 Empires full game (Japanese Ver.),"Rp 345,000"
"Far Cry 6 - Digital Standard Edition PS4 & PS5 (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 345,000"
"Sakuna: Of Rice and Ruin (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 345,000"
"Bus Simulator 21 Next Stop (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 345,000"
Rise of the Tomb Raider: 20 Year Celebration (Game),"Rp 345,000"
Shadow of the Tomb Raider (English Ver.),"Rp 345,000"
"RESIDENT EVIL 7 biohazard (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 345,000"
DRAGON BALL Z: KAKAROT PS4&PS5 (English),"Rp 345,000"
FINAL FANTASY TYPE-0 HD (English Ver.),"Rp 345,000"
FINAL FANTASY TYPE-0 HD (Japanese Ver.),"Rp 345,000"
"ACE COMBAT™ 7: SKIES UNKNOWN (English, Japanese)","Rp 345,000"
Street Fighter V: Champion Edition (Game),"Rp 345,000"
Megadimension Neptunia™ VII (English Ver.),"Rp 345,000"
MEGADIMENSION NEPTUNIA VII (Chinese Ver.),"Rp 345,000"
Yakuza 6: The Song of Life (English Ver.),"Rp 345,000"
Ikenie to Yuki no Setsuna (Japanese Ver.),"Rp 345,000"
KINGDOM HEARTS III (English Ver.),"Rp 345,000"
DRAGON QUEST XI S: Echoes of an Elusive Age – Definitive Edition (English),"Rp 345,000"
DRAGON QUEST BUILDERS 2 (English Ver.),"Rp 345,000"
DRAGON QUEST BUILDERS 2 (Japanese Ver.),"Rp 345,000"
DRAGON QUEST HEROES II™ (English Ver.),"Rp 345,000"
DRAGONQUEST HEROES II Futago no Ou to Yogen no Owari (Japanese Ver.),"Rp 779,000"
Yakuza 0 (English Ver.),"Rp 779,000"
Ryu Ga Gotoku 0: Chikai No Basyo (Japanese Ver.),"Rp 779,000"
Judgment (English Ver.),"Rp 779,000"
"Ryu Ga Gotoku 7: Hikari To Yami No Yukue International (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 779,000"
YAKUZA KIWAMI (English Ver.),"Rp 779,000"
Yakuza Kiwami 2 (English Ver.),"Rp 779,000"
DRAGON QUEST BUILDERS™ (English Ver.),"Rp 779,000"
DRAGON QUEST BUILDERS：Alefgard wo Fukkatsu Seyo (PS4™) (Japanese Ver.),"Rp 779,000"
DRAGON QUEST HEROES: The World Tree's Woe and the Blight Below (English Ver.),"Rp 779,000"
Dragon Quest Heroes™: Yamiryuu to Sekaiju no Shiro full game (Japanese Ver.),"Rp 779,000"
"FINAL FANTASY VII REMAKE INTERGRADE (Japanese/English Version) (English, Japanese)","Rp 779,000"
"Marvel's Guardians of the Galaxy PS4 & PS5 (English/Japanese Version) (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 779,000"
"Oddworld: Soulstorm Enhanced Edition (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 779,000"
"Assassin's Creed® Syndicate - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 779,000"
OUTRIDERS PS4 & PS5 (English),"Rp 779,000"
"Control: Ultimate Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 779,000"
Assassin's Creed® IV Black Flag - Digital Standard Edition – PlayStation®Hits (English),"Rp 779,000"
"Assassin's Creed Origins - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 779,000"
Assassin's Creed® Freedom Cry Standalone full game (English/Chinese/Japanese Ver.),"Rp 779,000"
"Assetto Corsa Competizione (English, Korean)","Rp 779,000"
"Assetto Corsa Competizione (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 779,000"
FINAL FANTASY X/X-2 HD Remaster (English Ver.),"Rp 779,000"
FINAL FANTASY X/X-2 HD Remaster (Japanese Ver.),"Rp 779,000"
"Tennis World Tour 2 (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 699,000"
